Id,Label,indegree,outdegree,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,pageranks
猴笑雷,,1,0,1,0,0,0,0,0,0.011354,0.000021
胡萝卜玉米片,,1,0,1,0,0,0,0,0,0.042528,0.00002
无根流木,,0,11,11,1,1,1,1,0,0,0.00002
菠菜味鲷鱼烧-重生版,,1,0,1,0,0,0,0,0,0.011354,0.000021
一缕古魂,,1,0,1,0,0,0,0,0,0.011354,0.000021
蒲熠星的直播间,,0,2,2,0,1,1,1,0,0,0.00002
哦吼咱运气还挺好--w--,,1,0,1,0,0,0,0,0,0.011354,0.000028
无限贤者模式,,1,0,1,0,0,0,0,0,0.042528,0.000028
爹者荣耀,,0,1,1,0,1,1,1,0,0,0.00002
的美怪ytuaebylgu,,1,0,1,0,0,0,0,0,0.011354,0.000037
__Kek444,,0,22,22,1,1,1,1,0,0,0.00002
小随意0911,,1,0,1,0,0,0,0,0,0.011354,0.000021
codingmonkey15516,,1,0,1,0,0,0,0,0,0.011354,0.000022
塞上李云中,,0,1,1,0,1,1,1,0,0,0.00002
米三D,,1,0,1,0,0,0,0,0,0.011354,0.000037
u1s1516,,1,0,1,0,0,0,0,0,0.011354,0.000021
_隐于时_,,1,0,1,0,0,0,0,0,0.011354,0.000028
忘词大王林小喜,,0,3,3,0,1,1,1,0,0,0.00002
林下从嘉,,1,0,1,0,0,0,0,0,0.011354,0.000026
A月三三六,,1,0,1,0,0,0,0,0,0.011354,0.000021
茗o0夜,,1,0,1,0,0,0,0,0,0.011354,0.000021
天才兔酱气泡水,,1,0,1,0,0,0,0,0,0.011354,0.000021
碳酸氢钠依赖症,,1,0,1,0,0,0,0,0,0.011354,0.000021
格崽限定,,0,3,3,1,2,0.666667,0.75,0,0,0.00002
狂很子老,,0,13,13,0,1,1,1,0,0,0.00002
久肆伍疤戚遛,,1,0,1,0,0,0,0,0,0.011354,0.000021
小娱圈圈,,0,5,5,0,1,1,1,0,0,0.00002
超级糖果大王,,1,0,1,0,0,0,0,0,0.011354,0.000021
喜欢吸血鬼的寡妇,,1,0,1,0,0,0,0,0,0.011354,0.000021
你要积极不要堕落,,1,0,1,0,0,0,0,0,0.011354,0.000021
我和夏天来了OuO,,1,0,1,0,0,0,0,0,0.011354,0.000021
帽哥basa,,0,3,3,0,1,1,1,0,0,0.00002
天空飘来半个字,,1,0,1,0,0,0,0,0,0.011354,0.000026
九天尚有白玉鲸,,1,0,1,0,0,0,0,0,0.011354,0.000021
月经少女野崎君,,1,0,1,0,0,0,0,0,0.011354,0.000022
斯人独憔悴丶丶,,1,0,1,0,0,0,0,0,0.011354,0.000021
Mrtree926,,1,0,1,0,0,0,0,0,0.011354,0.000021
驼背真的很舒服,,1,0,1,0,0,0,0,0,0.011354,0.000021
爱提出质疑的蓝发小女孩,,1,0,1,0,0,0,0,0,0.011354,0.000021
番茄牛腩没我牛,,1,0,1,0,0,0,0,0,0.011354,0.000021
霸气深蓝之星K,,2,0,2,1,0,0,0,0,0.022708,0.000021
没有金手指的普通玩家,,1,0,1,0,0,0,0,0,0.011354,0.000021
狗叠开门我是你爹,,1,0,1,0,0,0,0,0,0.011354,0.000021
孝出强大qunidiedesigenajsjhdh,,1,0,1,0,0,0,0,0,0.011354,0.000021
香草元宵,,0,1,1,0,1,1,1,0,0,0.00002
该用户没有私房钱,,1,0,1,0,0,0,0,0,0.011354,0.000037
Ariaaaaa0v0,,1,0,1,0,0,0,0,0,0.011354,0.000021
Qiqi0058,,1,0,1,0,0,0,0,0,0.042528,0.00002
是某幻每天都梦到的电子羊,,0,2,2,0,1,1,1,0,0,0.00002
星的汐望,,1,0,1,0,0,0,0,0,0.011354,0.000028
黑宫轮电影,,0,2,2,0,1,1,1,0,0,0.00002
西洛是糖,,1,0,1,0,0,0,0,0,0.011354,0.000028
WBG-杨某某,,0,4,4,0,1,1,1,0,0,0.00002
毛绒绒小怪兽合租屋,,1,0,1,0,0,0,0,0,0.011354,0.000024
摇头小丑想喝酒,,1,0,1,0,0,0,0,0,0.011354,0.000028
你的张悬,,0,0,0,0,0,0,0,0,0,0.00002
王C_略略略略,,1,0,1,0,0,0,0,0,0.042528,0.000022
崩解之尘,,1,0,1,0,0,0,0,0,0.042528,0.000022
